Mision,Fecha,Humedad(%),Presion(hPa),Temperatura(C),Latitud,Longitud,Altitud(m)
NanoSkyLab,22/4/2026,84,1012.15,24.32,0.0,0.0,9.16
NanoSkyLab,22/4/2026,84,1012.15,24.32,0.0,0.0,9.20
NanoSkyLab,22/4/2026,84,1012.15,24.32,0.0,0.0,9.18
NanoSkyLab,22/4/2026,84,1012.15,24.32,0.0,0.0,9.17
NanoSkyLab,22/4/2026,84,1012.16,24.32,0.0,0.0,9.12
NanoSkyLab,22/4/2026,84,1012.15,24.32,0.0,0.0,9.14
NanoSkyLab,22/4/2026,84,1012.15,24.32,0.0,0.0,9.18
NanoSkyLab,22/4/2026,84,1012.15,24.32,0.0,0.0,9.20
NanoSkyLab,22/4/2026,84,1012.15,24.32,0.0,0.0,9.20
NanoSkyLab,22/4/2026,84,1012.14,24.32,0.0,0.0,9.23
NanoSkyLab,22/4/2026,84,1012.14,24.32,0.0,0.0,9.24
NanoSkyLab,22/4/2026,84,1012.14,24.32,0.0,0.0,9.22
NanoSkyLab,22/4/2026,84,1012.14,24.32,0.0,0.0,9.22
NanoSkyLab,22/4/2026,84,1012.14,24.32,0.0,0.0,9.23
NanoSkyLab,22/4/2026,84,1012.15,24.33,0.0,0.0,9.20
NanoSkyLab,22/4/2026,84,1012.14,24.33,0.0,0.0,9.22
NanoSkyLab,22/4/2026,84,1012.14,24.33,0.0,0.0,9.22
NanoSkyLab,22/4/2026,84,1012.15,24.33,0.0,0.0,9.20
NanoSkyLab,22/4/2026,84,1012.15,24.33,0.0,0.0,9.18
NanoSkyLab,22/4/2026,84,1012.15,24.33,0.0,0.0,9.19
NanoSkyLab,22/4/2026,84,1012.14,24.33,0.0,0.0,9.23
NanoSkyLab,22/4/2026,84,1012.14,24.33,0.0,0.0,9.21
NanoSkyLab,22/4/2026,84,1012.14,24.33,0.0,0.0,9.23
NanoSkyLab,22/4/2026,84,1012.15,24.34,0.0,0.0,9.20
NanoSkyLab,22/4/2026,84,1012.14,24.34,0.0,0.0,9.21
NanoSkyLab,22/4/2026,84,1012.14,24.34,0.0,0.0,9.24
NanoSkyLab,22/4/2026,84,1012.14,24.34,0.0,0.0,9.23
NanoSkyLab,22/4/2026,84,1012.14,24.34,0.0,0.0,9.21
NanoSkyLab,22/4/2026,84,1012.14,24.34,0.0,0.0,9.23
NanoSkyLab,22/4/2026,84,1012.15,24.34,0.0,0.0,9.20
NanoSkyLab,22/4/2026,84,1012.14,24.34,0.0,0.0,9.22
NanoSkyLab,22/4/2026,84,1012.14,24.34,0.0,0.0,9.24
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.19
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.19
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.20
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.16
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.17
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.17
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.16
NanoSkyLab,22/4/2026,85,1012.15,24.35,0.0,0.0,9.12
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.14
NanoSkyLab,22/4/2026,85,1012.15,24.35,0.0,0.0,9.12
NanoSkyLab,22/4/2026,85,1012.16,24.35,0.0,0.0,9.11
NanoSkyLab,22/4/2026,84,1012.15,24.35,0.0,0.0,9.12
NanoSkyLab,22/4/2026,85,1012.15,24.35,0.0,0.0,9.12
NanoSkyLab,22/4/2026,85,1012.16,24.35,0.0,0.0,9.11
NanoSkyLab,22/4/2026,85,1012.16,24.35,0.0,0.0,9.08
NanoSkyLab,22/4/2026,85,1012.16,24.35,0.0,0.0,9.09
NanoSkyLab,22/4/2026,85,1012.16,24.35,0.0,0.0,9.08
NanoSkyLab,22/4/2026,85,1012.16,24.35,0.0,0.0,9.07
NanoSkyLab,22/4/2026,85,1012.16,24.35,0.0,0.0,9.05
NanoSkyLab,22/4/2026,85,1012.16,24.35,0.0,0.0,9.07
