Mision,Fecha,Humedad,Presion,Temp,Lat,Lon,Alt
Nan372,2.033283,28.03
NanoSkyLab,22/4/2026,75,1012.13,24.56,41.357360,2.033280,28.06
NanoSkyLab,22/4/2026,75,1012.13,24.56,41.357372,2.033283,28.03
NanoSkyLab,22/4/2026,75,1012.13,24.56,41.357360,2.033280,28.06
NanoSkyLab,22/4/2026,60,1012.15,24.55,41.357341,2.033277,27.86
NanoSkyLab,22/4/2026,67,1012.15,24.55,41.357330,2.033276,27.88
NanoSkyLab,22/4/2026,70,1012.14,24.55,41.357326,2.033275,27.92
NanoSkyLab,22/4/2026,72,1012.14,24.55,41.357322,2.033274,27.92
